BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,GenderCode,RaceDesc,MaritalDesc,TrainingType,TrainingOutcome,CurrentEmployeeRating,EngagementScore,SatisfactionScore,Work-LifeBalanceScore,TrainingDurationDays,TrainingCost,Age,PerformanceScore
CCDR,Active,Contract,Zone C,Temporary,Production,Female,White,Widowed,Internal,Failed,4,1,2,3,2,606.11,50,1
EW,Active,Contract,Zone A,Part-Time,Production,Male,Hispanic,Widowed,External,Incomplete,3,2,1,5,4,673.02,58,1
PL,Active,Full-Time,Zone B,Part-Time,Sales,Male,Hispanic,Widowed,External,Failed,4,1,2,1,2,413.28,27,1
CCDR,Active,Contract,Zone A,Full-Time,Sales,Male,Other,Single,External,Completed,2,5,5,4,3,663.78,23,1
TNS,Active,Contract,Zone A,Temporary,Sales,Female,Other,Married,External,Failed,3,2,5,3,5,399.03,50,1
BPC,Active,Contract,Zone B,Full-Time,Sales,Male,Black,Married,Internal,Passed,3,2,3,5,2,820.33,71,1
WBL,Active,Full-Time,Zone B,Temporary,Sales,Female,Hispanic,Divorced,External,Passed,4,1,5,2,5,295.08,80,3
CCDR,Active,Contract,Zone C,Full-Time,Sales,Female,White,Divorced,Internal,Passed,2,1,4,2,3,790.15,63,1
NEL,Active,Contract,Zone B,Part-Time,Sales,Male,Black,Widowed,Internal,Passed,3,4,3,3,3,798.4,44,3
BPC,Active,Part-Time,Zone B,Temporary,Sales,Male,Asian,Widowed,Internal,Failed,5,5,5,2,5,192.61,73,1
SVG,Active,Contract,Zone B,Temporary,Sales,Female,Other,Single,Internal,Failed,5,3,2,5,1,455.68,59,1
MSC,Active,Full-Time,Zone C,Temporary,Sales,Female,Asian,Married,Internal,Failed,3,4,2,5,2,208.17,70,1
EW,Active,Full-Time,Zone A,Temporary,Sales,Male,Other,Single,External,Incomplete,3,1,2,5,1,421.07,41,1
CCDR,Active,Contract,Zone A,Full-Time,Sales,Female,White,Divorced,External,Failed,3,1,4,5,1,649.03,68,1
BPC,Active,Part-Time,Zone A,Part-Time,Sales,Male,Asian,Widowed,Internal,Passed,4,4,2,5,4,450.2,30,3
PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Male,Black,Single,External,Failed,2,2,5,3,4,286.87,67,3
WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Male,Asian,Widowed,External,Failed,3,2,2,4,3,402.13,27,1
NEL,Active,Contract,Zone A,Part-Time,Sales,Male,Other,Widowed,External,Failed,3,1,2,4,2,388.84,38,1
PL,Active,Contract,Zone C,Full-Time,Sales,Female,Other,Married,External,Completed,4,4,5,2,2,879.64,36,3
BPC,Active,Part-Time,Zone A,Part-Time,Sales,Female,White,Divorced,Internal,Failed,2,4,3,5,5,701.13,25,3
MSC,Active,Contract,Zone C,Temporary,Sales,Male,Other,Single,Internal,Completed,2,4,3,5,4,186.07,26,3
TNS,Active,Contract,Zone C,Full-Time,Sales,Male,Other,Divorced,External,Completed,3,5,1,2,1,921.97,53,3
PYZ,Active,Part-Time,Zone A,Part-Time,Sales,Male,Black,Divorced,Internal,Failed,2,5,5,2,1,691.04,75,1
WBL,Active,Contract,Zone C,Part-Time,Sales,Male,White,Widowed,External,Completed,4,5,5,3,5,964.44,40,1
PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,Male,Hispanic,Married,Internal,Passed,4,4,4,2,3,184.9,52,2
WBL,Active,Full-Time,Zone C,Temporary,Sales,Male,Other,Widowed,External,Passed,4,2,1,1,1,220.41,22,3
NEL,Active,Full-Time,Zone A,Temporary,Sales,Female,Black,Divorced,External,Passed,3,4,3,4,2,336.82,77,1
PL,Active,Full-Time,Zone B,Temporary,Sales,Female,White,Divorced,External,Completed,3,5,1,4,4,485.73,73,2
SVG,Active,Full-Time,Zone A,Full-Time,Sales,Male,Asian,Married,External,Incomplete,3,4,3,3,5,919.52,76,1
MSC,Active,Contract,Zone A,Full-Time,Sales,Male,Hispanic,Divorced,External,Completed,3,3,3,1,1,320.01,76,2
TNS,Active,Part-Time,Zone A,Temporary,Sales,Male,Hispanic,Single,Internal,Incomplete,1,4,3,4,4,926.19,69,1
PYZ,Active,Contract,Zone B,Full-Time,Sales,Male,Black,Widowed,External,Passed,5,2,5,3,2,290.47,20,2
WBL,Active,Full-Time,Zone B,Full-Time,Sales,Male,Asian,Divorced,External,Incomplete,3,5,4,3,1,706.1,59,2
PYZ,Active,Part-Time,Zone C,Full-Time,IT/IS,Male,Other,Married,External,Passed,4,1,3,4,3,447.66,43,3
WBL,Active,Contract,Zone A,Part-Time,Sales,Female,Asian,Divorced,Internal,Incomplete,1,4,3,2,1,759.7,33,3
NEL,Active,Contract,Zone B,Temporary,Sales,Female,Black,Single,Internal,Completed,4,3,1,3,3,180.63,21,1
CCDR,Active,Part-Time,Zone C,Temporary,Sales,Male,Asian,Married,External,Passed,4,2,4,1,3,109.98,53,1
SVG,Active,Contract,Zone C,Full-Time,Sales,Male,Other,Married,External,Completed,4,5,5,4,5,537.24,41,3
EW,Active,Part-Time,Zone A,Temporary,Sales,Male,Hispanic,Widowed,External,Failed,2,3,4,4,5,789.99,73,3
MSC,Active,Full-Time,Zone A,Temporary,Sales,Male,Other,Divorced,External,Incomplete,2,3,1,2,5,155.51,55,1
TNS,Active,Full-Time,Zone C,Temporary,Sales,Male,Asian,Widowed,Internal,Passed,2,4,3,4,2,648.76,64,1
PYZ,Active,Part-Time,Zone A,Temporary,Sales,Male,Asian,Divorced,Internal,Incomplete,2,5,5,3,4,533.5,78,2
PYZ,Active,Part-Time,Zone A,Full-Time,IT/IS,Female,Asian,Widowed,External,Failed,2,1,2,1,5,429.48,50,2
WBL,Active,Full-Time,Zone C,Temporary,Sales,Female,Hispanic,Married,External,Incomplete,2,3,4,1,1,526.74,61,1
NEL,Active,Contract,Zone A,Part-Time,Sales,Female,Hispanic,Widowed,Internal,Passed,2,4,4,4,3,443.45,60,1
SVG,Active,Part-Time,Zone B,Temporary,Sales,Male,Asian,Widowed,External,Passed,1,1,4,5,4,111.96,57,1
EW,Active,Part-Time,Zone B,Full-Time,Sales,Male,Other,Single,External,Passed,4,1,2,4,1,795.7,23,1
MSC,Active,Contract,Zone C,Full-Time,Sales,Male,White,Widowed,Internal,Passed,5,2,1,3,2,796.45,27,1
TNS,Active,Part-Time,Zone C,Temporary,Sales,Male,Other,Widowed,Internal,Completed,4,3,1,1,5,812.59,32,1
BPC,Active,Contract,Zone B,Part-Time,Sales,Female,Other,Divorced,External,Completed,4,5,4,1,5,132.97,29,1
CCDR,Active,Contract,Zone B,Full-Time,Sales,Female,Asian,Single,Internal,Completed,2,1,5,1,1,308.19,25,1
EW,Active,Part-Time,Zone A,Temporary,Sales,Female,Black,Divorced,Internal,Passed,2,2,4,5,1,131.41,69,1
